ds	yhat	yhat_lower	yhat_upper
2009-05-24	5.798344085839012	3.2772542165276066	8.479493624942403
2009-05-25	7.096128195292329	4.2939593751142455	9.648566795138263
2009-05-26	7.203043768600388	4.664863828254134	9.731957670919218
2009-05-27	7.331381171060157	4.889915092218217	9.970868091665718
2009-05-28	7.319560655441475	4.6382118612471634	9.745160952181916
2009-05-29	7.379475799164767	4.771275048346915	9.916575129224052
2009-05-30	6.392768874117225	3.813799609376229	8.710595685926357
2009-05-31	6.278918271538558	3.659247439929327	8.820264831473493
2009-06-01	7.56359972448493	5.145084412511971	10.199010758062329
2009-06-02	7.6486493760476	4.929975720016687	10.255234066813028
2009-06-03	7.7467556440426595	5.201540271517949	10.350031020214056
2009-06-04	7.696967782236318	5.242761423570543	10.268382117452699
2009-06-05	7.71202359784124	5.263309516732096	10.152093903503062
2009-06-06	6.674603158395582	4.078040140799892	9.088607522113719
2009-06-07	6.505389228812808	3.851151592916678	8.989324651759631
2009-06-08	7.7313969458953045	5.069971510566522	10.192432016460112
2009-06-09	7.755901667389694	5.2639347047910245	10.15416245059506
2009-06-10	7.793092933250571	5.193499107857549	10.25766826559059
2009-06-11	7.683543495789854	5.188266853639934	10.203314331832432
2009-06-12	7.641496974294643	5.216115111411072	10.286392957425528
2009-06-13	6.551082071153008	3.9754848598303507	9.137069843553908
2009-06-14	6.334335170838387	3.7937466116224363	9.042351606985758
2009-06-15	7.519494856136217	4.94769441346072	9.982384526255826
2009-06-16	7.510898223348997	5.005462550830302	10.02460255085993
2009-06-17	7.523607770622413	5.075099398236208	9.898753746130513
2009-06-18	7.3988585213450975	4.89433632445391	9.855409960999774
2009-06-19	7.351329493574686	4.6395800905389715	9.785597154567599
2009-06-20	6.265347843553892	3.5463885819724186	8.900035891812037
2009-06-21	6.062907721769485	3.6639077878707123	8.344078691111973
2009-06-22	7.271967414628575	4.729537729208081	9.825010964791689
2009-06-23	7.296354514346186	4.9326790914071825	9.82661622816818
2009-06-24	7.350407580071805	4.756590068485953	9.69063288364035
2009-06-25	7.274443479557303	4.801130003737365	9.62915414880237
2009-06-26	7.282053903515468	4.8684743418799465	9.90482180803405
